Status Effective,Account Holder,Quantity of Credits,Retirement Reason,Retirement Reason Details,Credit Serial Numbers,Vintage,Date Issued (GMT),Verified Removal,CORSIA Eligible,ARB Eligible,Sustainable Development Goal(s),Project ID,Project Name,Project Site Country,Project Site Location,Project Site State,Project Type,Project Methodology/Protocol,Methodology/Protocol Version
7/18/2023,Blue Source,1259,On Behalf of Third Party,Retired on behalf of Bowdoin College,ACR-US-566-2022-1691-1 to 1259,2022,11/21/2022 17:29,Yes,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - 100-Mile Wilderness  Forestry Project,US,Northern Maine,MAINE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/18/2023,"Tradewater, LLC",33,Environmental Benefit,Climate Heroes - 23.07.18,ACR-US-597-2021-1894-2118 to 2150,2021,5/17/2023 20:33,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Tradewater Halon,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 2.0
7/17/2023,"Enstor Gas, LLC",6641,Environmental Benefit,Q1 Q2 Enstor Katy Retirement,ACR-BR-191-2015-1296-78654 to 85294,2015,7/2/2021 18:24,,No,No,07: Affordable and Clean Energy;11: Sustainable Cities and Communities;13: Climate Action,ACR102,"MS Renovaveis Wind Power Complex: Mar e Terra, Areia Branca, Embuaca and  Icaraí",BR,Ceará and Rio Grande do Norte States,Ceará and Rio Grande do Norte,Renewable Energy,ACM0002: Consolidated baseline methodology for grid-connected electricity generation from renewable sources,Version 15.0
7/17/2023,"Tradewater, LLC",267,On Behalf of Third Party,Coho Climate Advisors LLC,ACR-TH-814-2023-1808-102517 to 102783,2023,3/16/2023 21:51,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Tradewater International - Thailand 1.0,TH,"965 Moo 2 Soi 3B Bangpoo Industrial Estate, Sukhumvit Rd Bangpoo Mai",Samut Prakan,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) from International Sources,Version 1.0
7/17/2023,Arbor Day Foundation,57,On Behalf of Third Party,Retired on behalf of Natural Cycles,ACR-US-114-2019-1071-179084 to 179140,2019,7/31/2020 21:00,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
7/17/2023,"Tradewater, LLC",107,Environmental Benefit,Climate Heroes - 23.07.17,ACR-US-597-2021-1894-2011 to 2117,2021,5/17/2023 20:33,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR102,Tradewater Halon,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 2.0
7/17/2023,Green Story Inc,28,Other,Retired on behalf of Swannies to offset the carbon footprint of their products sales for June 2023,ACR-US-386-2019-1243-19805 to 19832,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/17/2023,Green Story Inc,8,Other,"Retired on behalf of Green Story Inc's and SimpliZero clients to offset the carbon footprint of their products sales, employee and lifestyle footprint for June 2023.",ACR-US-386-2020-1450-24667 to 24674,2020,2/5/2022 17:34,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/17/2023,Green Story Inc,82,Other,Retired on behalf of Pangaia to offset the carbon footprint of their products sales for May 2023,ACR-US-386-2020-1450-24585 to 24666,2020,2/5/2022 17:34,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
7/17/2023,Green Story Inc,5,Other,"Retired on behalf of Green Story Inc's and SimpliZero clients to offset the carbon footprint of their products sales, employee and lifestyle footprint for May 2023.",ACR-US-386-2019-1243-19800 to 19804,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR102,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
